Area,Boro,AreaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06
All Downtown,Manhattan,submarket,3000.0,2975.0,2900.0,2975.0,2995.0,3000.0,3000.0,3000.0,3200.0,3200.0,3110.0,3195.0,3195.0,3200.0,3199.0,3200.0,3200.0,3297.5,3200.0,3250.0,3367.0,3400.0,3300.0,3285.0,3250.0,3250.0,3312.5,3350.0,3365.0,3300.0,3300.0,3295.0,3395.0,3395.0,3325.0,3352.5,3300.0,3350.0,3400.0,3397.0,3350.0,3300.0,3350.0,3400.0,3450.0,3495.0,3529.0,3500.0,3500.0,3500.0,3495.0,3450.0,3492.0,3410.0,3450.0,3477.0,3495.0,3495.0,3457.5,3500.0,3500.0,3500.0,3512.5,3550.0,3500.0,3500.0,3500.0,3595.0,3600.0,3599.5,3550.0,3600.0,3595.0,3600.0,3650.0,3695.0,3695.0,3695.0,3650.0,3558.0,3575.0,3587.5,3531.0,3500.0,3500.0,3582.0,3532.0,3539.5,3530.0,3500.0,3500.0,3550.0,3520.0,3500.0,3500.0,3500.0,3532.5,3599.0,3595.0,3590.0,3525.0,3525.0
All Midtown,Manhattan,submarket,2800.0,2800.0,2850.0,2895.0,2900.0,2954.0,3000.0,3000.0,3095.0,3020.0,3000.0,3000.0,3000.0,3000.0,3050.0,3100.0,3200.0,3200.0,3250.0,3265.0,3227.0,3225.0,3250.0,3250.0,3225.0,3200.0,3200.0,3295.0,3350.0,3335.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3380.0,3350.0,3395.0,3395.0,3350.0,3350.0,3394.5,3350.0,3377.5,3400.0,3440.0,3450.0,3500.0,3495.0,3450.0,3400.0,3450.0,3450.0,3495.0,3480.0,3495.0,3495.0,3500.0,3567.0,3578.0,3561.0,3550.0,3500.0,3500.0,3492.5,3495.0,3480.0,3500.0,3500.0,3554.5,3600.0,3595.0,3500.0,3500.0,3500.0,3500.0,3475.0,3495.0,3450.0,3495.0,3500.0,3500.0,3535.0,3525.0,3500.0,3500.0,3500.0,3495.0,3300.0,3350.0,3387.0,3395.0,3392.0,3400.0,3500.0,3518.0
All Upper East Side,Manhattan,submarket,2350.0,2300.0,2325.0,2450.0,2500.0,2500.0,2500.0,2490.0,2500.0,2500.0,2400.0,2500.0,2495.0,2450.0,2400.0,2500.0,2600.0,2600.0,2555.0,2600.0,2650.0,2700.0,2700.0,2695.0,2625.0,2650.0,2600.0,2650.0,2600.0,2650.0,2650.0,2637.5,2700.0,2600.0,2650.0,2695.0,2650.0,2750.0,2750.0,2699.5,2700.0,2695.0,2650.0,2795.0,2775.0,2750.0,2700.0,2725.0,2695.0,2699.0,2650.0,2650.0,2650.0,2600.0,2650.0,2575.0,2600.0,2650.0,2700.0,2795.0,2792.5,2847.5,2850.0,2750.0,2795.0,2800.0,2800.0,2850.0,2950.0,2850.0,2800.0,2895.0,2900.0,2895.0,2950.0,2895.0,2890.0,2800.0,2750.0,2750.0,2795.0,2795.0,2800.0,2875.0,2800.0,2800.0,2850.0,2850.0,2800.0,2800.0,2800.0,2795.0,2850.0,2795.0,2799.5,2800.0,2800.0,2784.0,2775.0,2700.0,2700.0,2800.0
All Upper Manhattan,Manhattan,submarket,1500.0,1508.0,1540.0,1516.0,1550.0,1585.0,1550.0,1550.0,1600.0,1600.0,1550.0,1550.0,1550.0,1595.0,1600.0,1600.0,1600.0,1600.0,1700.0,1750.0,1797.0,1695.0,1697.5,1650.0,1647.5,1650.0,1700.0,1675.0,1700.0,1650.0,1651.5,1762.5,1725.0,1750.0,1750.0,1695.0,1700.0,1700.0,1700.0,1675.0,1700.0,1750.0,1775.0,1795.0,1800.0,1725.0,1700.0,1700.0,1725.0,1700.0,1675.0,1750.0,1800.0,1795.0,1775.0,1750.0,1750.0,1775.0,1772.5,1750.0,1789.0,1800.0,1800.0,1850.0,1850.0,1900.0,1900.0,1900.0,1895.0,1850.0,1850.0,1850.0,1866.0,1890.0,1908.0,1900.0,1950.0,1950.0,1952.5,1950.0,1900.0,1950.0,1900.0,1950.0,1965.0,1950.0,1927.5,1950.0,1941.0,1950.0,1977.5,1995.0,1975.0,1965.0,1900.0,1925.0,1935.0,1950.0,1950.0,1995.0,2000.0,2000.0
All Upper West Side,Manhattan,submarket,2600.0,2550.0,2497.0,2500.0,2500.0,2600.0,2600.0,2650.0,2750.0,2800.0,2800.0,2700.0,2700.0,2750.0,2775.0,2800.0,2800.0,2900.0,2850.0,2945.0,2900.0,2900.0,2975.0,3000.0,3000.0,2950.0,2900.0,2950.0,2900.0,2950.0,2995.0,2950.0,2995.0,2990.0,2997.5,2995.0,2950.0,2972.5,3000.0,3000.0,3000.0,2900.0,2850.0,2950.0,3000.0,3000.0,2950.0,2995.0,2950.0,2995.0,3000.0,3100.0,3100.0,3000.0,3000.0,2995.0,3050.0,3050.0,3000.0,3000.0,3095.0,3100.0,3100.0,3150.0,3150.0,3150.0,3250.0,3250.0,3300.0,3250.0,3200.0,3200.0,3200.0,3200.0,3200.0,3250.0,3250.0,3162.0,3195.0,3195.0,3200.0,3200.0,3140.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3129.0,3100.0,3097.0,3050.0,3140.0,3100.0,3080.0,3083.5,3100.0,3139.0,3100.0
Alley Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astoria,Queens,neighborhood,1395.0,1450.0,1450.0,1395.0,1450.0,1600.0,1500.0,1450.0,1500.0,1600.0,1545.0,1450.0,1450.0,1450.0,1600.0,1725.0,1900.0,1900.0,1700.0,1850.0,1900.0,1850.0,1800.0,1850.0,1633.0,1795.0,1795.0,1850.0,1800.0,1700.0,1997.5,2000.0,2175.0,2100.0,1950.0,1797.5,1645.0,1725.0,1699.5,1750.0,1900.0,1850.0,1950.0,1850.0,1900.0,1900.0,1850.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1850.0,1850.0,1800.0,1897.5,1850.0,1899.0,1875.0,1900.0,1900.0,1900.0,2000.0,1900.0,1900.0,1900.0,1900.0,1937.5,1975.0,1950.0,1995.0,1950.0,2000.0,1900.0,1999.0,2000.0,2000.0,2000.0,2000.0,2000.0,1945.0,1900.0,1900.0,1900.0,1900.0,1900.0,1950.0,1900.0,1899.0,1850.0,1850.0,1850.0,1850.0,1850.0,1875.0,1900.0,1850.0
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1425.0,,,,,,,,
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475.0,,,1450.0,1400.0,,,,,,1525.0,,1550.0,,1550.0,1625.0
Battery Park City,Manhattan,neighborhood,2875.0,2800.0,2900.0,2850.0,2800.0,2900.0,2950.0,2975.0,3025.0,3085.0,3000.0,3045.0,2955.0,2897.5,2950.0,2835.0,2972.5,3100.0,3150.0,3150.0,3197.5,3135.0,3000.0,3067.5,3120.0,3175.0,3200.0,3200.0,3200.0,3215.0,3295.0,3300.0,3200.0,3225.0,3150.0,3250.0,3295.0,3200.0,3250.0,3250.0,3422.5,3342.5,3255.0,3325.0,3297.5,3350.0,3385.0,3350.0,3385.0,3325.0,3450.0,3275.0,3330.0,3500.0,3550.0,3500.0,3600.0,3400.0,3300.0,3295.0,3400.0,3565.0,3600.0,3600.0,3740.0,3790.0,3765.0,3800.0,3835.0,3837.5,3830.0,3700.0,3550.0,3612.5,3660.0,3792.5,3930.0,3870.0,3865.0,3700.0,3600.0,3572.5,3559.5,3595.0,3600.0,3570.0,3525.0,3500.0,3600.0,3700.0,3700.0,3600.0,3550.0,3567.5,3489.0,3595.0,3514.0,3547.5,3600.0,3600.0,3700.0,3700.0
Bay Ridge,Brooklyn,neighborhood,1325.0,1350.0,1350.0,1325.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1400.0,1300.0,1300.0,1300.0,1300.0,1350.0,1437.5,1475.0,1450.0,1350.0,1350.0,1395.0,1300.0,1295.0,1325.0,,1325.0,1350.0,1400.0,1450.0,1450.0,1450.0,1495.0,1425.0,1425.0,1425.0,1495.0,1525.0,1525.0,1500.0,1495.0,1550.0,1500.0,1500.0,1500.0,1550.0,1550.0,1550.0,1525.0,1525.0,1500.0,1450.0,1500.0,1500.0,1550.0,1550.0,1550.0,1525.0,1525.0,1597.5,1600.0,1600.0,1600.0,1600.0,1650.0,1700.0,1675.0,1650.0,1650.0,1600.0,1600.0,1650.0,1650.0,1650.0,1700.0,1700.0,1650.0,1650.0,1672.5,1700.0,1675.0,1650.0,1650.0,1625.0,1647.5,1650.0,1650.0,1650.0,1650.0,1600.0,1650.0,1675.0,1650.0,1650.0,1675.0,1650.0,1675.0,1675.0,1699.0
Baychester,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayside,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950.0,,,,,2100.0,,,,,,,,,,,,1875.0,1775.0,2100.0,1850.0,,,1747.5,,,,,,,,,,1800.0,2200.0,,1800.0,,,1775.0,,1725.0,1650.0,,1625.0,
Bedford Park,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050.0,,,,,,,,,,,,,,,,,,,,,,,1400.0,1400.0,1400.0,1400.0,1400.0,1387.5,1375.0,1400.0,1400.0,1400.0,1350.0,1312.0,1300.0,1300.0,1350.0,1395.0,1350.0,1300.0,1450.0,1437.5,1450.0,1450.0,1387.5,1450.0,1462.5,1450.0,1500.0,1450.0,1450.0,1450.0,1375.0,1400.0,1500.0,1500.0,1500.0,1550.0,1550.0,1550.0,1472.5,,,,,,,,,
Bedford-Stuyvesant,Brooklyn,neighborhood,1550.0,1450.0,1350.0,1400.0,1400.0,1350.0,1300.0,1367.5,1450.0,1500.0,1475.0,1425.0,1400.0,1400.0,1425.0,1400.0,1395.0,1397.5,1450.0,1450.0,1412.5,1500.0,1450.0,1450.0,1400.0,1500.0,1550.0,1550.0,1537.5,1525.0,1500.0,1450.0,1500.0,1500.0,1500.0,1575.0,1499.5,1650.0,1700.0,1725.0,1700.0,1650.0,1650.0,1725.0,1700.0,1695.0,1741.0,1750.0,1750.0,1700.0,1790.0,1750.0,1750.0,1750.0,1750.0,1800.0,1800.0,1800.0,1797.0,1761.5,1800.0,1800.0,1800.0,1924.5,1950.0,1925.0,1950.0,1950.0,1900.0,1900.0,1925.0,1900.0,1919.0,1925.0,1950.0,2000.0,2050.0,2100.0,2100.0,2099.0,2099.0,2000.0,1999.0,2000.0,2000.0,2000.0,2000.0,2050.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2044.0,2000.0,2000.0,2000.0,2100.0,2150.0,2108.0,2150.0
Bellerose,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bensonhurst,Brooklyn,neighborhood,,,,,,,,,,,,,,,,1300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300.0,,,,1300.0,1200.0,,,,1362.5,1350.0,1300.0,1300.0,1350.0,1300.0,1350.0,1400.0,1412.5,1412.5,1500.0,1450.0,1500.0,1425.0,1400.0,1450.0,1350.0,1400.0,1399.0,1399.0,1400.0,1412.5,1425.0,1500.0,1500.0,1550.0,1550.0,,1500.0,1450.0,,,1475.0,1475.0,1500.0,1550.0,1550.0,1500.0,,1570.0,1550.0,1522.5,1549.5,1572.5,1595.0,1505.0,1550.0,1650.0,1587.5
Bergen Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boerum Hill,Brooklyn,neighborhood,2000.0,1950.0,1950.0,2000.0,2050.0,2360.0,2355.0,2355.0,2200.0,2200.0,,,,2200.0,2325.0,,,2300.0,,,,,,,,,2500.0,,2350.0,2350.0,2350.0,2547.5,,2475.0,2450.0,2950.0,,2700.0,2825.0,2700.0,2625.0,2750.0,2500.0,2775.0,2700.0,2500.0,2500.0,2500.0,2300.0,2400.0,2475.0,2629.0,2650.0,2700.0,2500.0,2550.0,2600.0,2500.0,2599.0,2650.0,2650.0,2800.0,2800.0,2622.5,2512.5,2500.0,2600.0,2600.0,2700.0,2600.0,2500.0,2500.0,2525.0,2600.0,2575.0,2600.0,2650.0,2800.0,2595.0,2550.0,2520.0,2500.0,2455.0,2475.0,2550.0,2799.0,2797.5,2775.0,2600.0,2600.0,2628.0,2712.5,2800.0,2725.0,2650.0,2675.0,2425.0,2550.0,2525.0,2650.0,2768.0,2700.0
Borough Park,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250.0,1300.0,,,,,,,,1525.0,1400.0,1350.0,1425.0,1350.0,,1425.0,1495.0,1475.0,1475.0,1475.0,1475.0,1400.0,1499.0,1500.0,,1425.0,1450.0,1395.0,1425.0,1525.0,1500.0,1462.5,1590.0,2100.0,1650.0,1599.0,1650.0,2077.0,1662.5,1600.0,1600.0,1585.0,1582.5,1570.0,1550.0,1500.0,1500.0,1500.0,1500.0,1590.0,1500.0,1636.5,1590.0,1550.0,1600.0
Bowne Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Briarwood,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450.0,1512.5,,,,,1450.0,1472.5,,1500.0,1500.0,1525.0,1597.5,1595.0,1597.5,1622.5,1650.0,1625.0,1650.0,1650.0,1575.0,1555.0,1525.0,1537.5,1662.5,1650.0,1622.5,1650.0,1675.0,1695.0,1692.5,1650.0,1690.0,1695.0,1697.5,1750.0,1697.5,1750.0,1625.0,1595.0,1600.0,1599.0,1695.0,1550.0,1550.0,1600.0,1650.0,1650.0,1625.0,1625.0,1600.0,1612.5,1670.0,1600.0,1595.0,1624.5,1692.5,1699.0,1695.0,1675.0,1699.0
Brighton Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1612.5,1612.5,1650.0,1700.0,,,,,,,,1450.0,1400.0,1400.0,1400.0,1405.0,1580.0,1572.5,,,1425.0,,1825.0,1825.0,1700.0,1647.5,1437.5,1495.0,1550.0,1695.0,1475.0,1450.0,1695.0,1750.0,1800.0,1850.0,1597.5,1612.5,1597.0,1637.5,1695.0,1700.0,1700.0,1675.0,1662.0,1796.0,1800.0,1737.5,1797.5,1795.0,1775.0,1750.0,1772.5,1695.0,1695.0,1695.0,1650.0,1800.0,1775.0,1800.0,1812.5,1775.0,1735.0,1875.0,1795.0,1850.0,1837.5,1718.5,1895.0,1825.0,1744.0,1900.0,1925.0
Bronx,Bronx,borough,1400.0,1400.0,1400.0,1375.0,1400.0,1325.0,1200.0,1175.0,1250.0,1275.0,1325.0,1300.0,1450.0,1425.0,1300.0,1300.0,1300.0,1125.0,1250.0,1250.0,1200.0,1200.0,1200.0,1200.0,1200.0,1250.0,1200.0,1200.0,1200.0,1200.0,1285.0,1250.0,1150.0,1250.0,1275.0,1295.0,1250.0,1275.0,1275.0,1312.5,1300.0,1250.0,1250.0,1225.0,1225.0,1200.0,1200.0,1250.0,1225.0,1214.0,1350.0,1350.0,1400.0,1499.0,1400.0,1300.0,1300.0,1300.0,1350.0,1322.5,1350.0,1350.0,1375.0,1362.5,1349.0,1325.0,1300.0,1350.0,1350.0,1350.0,1395.0,1400.0,1450.0,1450.0,1425.0,1450.0,1450.0,1450.0,1450.0,1450.0,1495.0,1485.5,1450.0,1475.0,1475.0,1499.0,1500.0,1500.0,1512.0,1500.0,1550.0,1550.0,1560.0,1550.0,1562.5,1550.0,1550.0,1587.5,1550.0,1577.5,1599.5,1575.0
Bronxwood,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400.0,1449.0,1450.0,1475.0,1500.0,,1450.0,1450.0,,,1450.0,1462.5,1450.0,,1600.0,1450.0,1450.0,,1550.0
Brooklyn,Brooklyn,borough,1950.0,1940.0,1900.0,1950.0,2000.0,2000.0,2050.0,2000.0,2100.0,2095.0,1900.0,1900.0,1900.0,1900.0,1900.0,1900.0,2000.0,2050.0,2100.0,2100.0,2200.0,2200.0,2100.0,2300.0,2250.0,2250.0,2300.0,2336.5,2300.0,2200.0,2200.0,2262.5,2400.0,2375.0,2375.0,2400.0,2200.0,2250.0,2200.0,2200.0,2275.0,2300.0,2400.0,2450.0,2450.0,2375.0,2292.5,2344.0,2300.0,2200.0,2200.0,2200.0,2395.0,2315.0,2300.0,2300.0,2250.0,2200.0,2200.0,2250.0,2300.0,2300.0,2300.0,2300.0,2250.0,2200.0,2270.0,2300.0,2300.0,2300.0,2299.0,2250.0,2300.0,2300.0,2300.0,2395.0,2395.0,2350.0,2375.0,2350.0,2350.0,2319.0,2300.0,2270.0,2275.0,2250.0,2200.0,2250.0,2250.0,2295.0,2250.0,2300.0,2300.0,2299.0,2200.0,2195.0,2200.0,2200.0,2200.0,2250.0,2250.0,2297.0
Brooklyn Heights,Brooklyn,neighborhood,2000.0,1950.0,1875.0,1850.0,2200.0,2200.0,2395.0,2325.0,2500.0,2250.0,2350.0,2600.0,2075.0,2500.0,2550.0,2300.0,2300.0,2300.0,2400.0,2600.0,2700.0,2800.0,2600.0,2650.0,2695.0,2625.0,2580.0,2500.0,2500.0,2500.0,3000.0,3100.0,2700.0,2700.0,2750.0,2700.0,2675.0,2687.5,3136.0,2995.0,2800.0,2800.0,2950.0,2900.0,2900.0,2800.0,2750.0,2950.0,2750.0,2700.0,2862.5,3025.0,2860.0,2797.5,2785.0,2800.0,2750.0,2795.0,2770.0,2712.5,2675.0,2700.0,2775.0,2900.0,2850.0,2800.0,2900.0,2800.0,2887.5,2850.0,2800.0,2700.0,2800.0,2800.0,2700.0,2797.5,3000.0,2975.0,2975.0,2887.5,2995.0,2900.0,2900.0,3000.0,2997.5,2800.0,2772.5,2800.0,2825.0,2900.0,2800.0,2900.0,2895.0,2900.0,2858.0,2900.0,2872.5,2796.0,2800.0,2800.0,2895.0,2900.0
Brookville,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brownsville,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300.0,,,,,,,,,1300.0,1299.5,1300.0,1355.0,1382.5,1370.0,1400.0,1375.0,1350.0,1400.0,1400.0,1350.0,1350.0,1400.0,1350.0,1325.0,1400.0,1400.0,1500.0,1450.0,1450.0,1400.0,1400.0,1400.0,1375.0,1400.0,1449.0,1450.0,1400.0,1472.5,1375.0,1450.0,1450.0,1400.0,1500.0,1550.0,1550.0,1599.0,,1475.0,1500.0,
Bushwick,Brooklyn,neighborhood,,,1500.0,2000.0,2050.0,1500.0,1500.0,,1500.0,,,,2000.0,2000.0,2000.0,2000.0,1850.0,,,,,,,,,,,,1830.0,1800.0,1775.0,1750.0,1775.0,,,,1700.0,2400.0,1975.0,1975.0,1775.0,1795.0,1795.0,2267.0,2200.0,1995.0,1850.0,1850.0,1950.0,1925.0,1997.0,1950.0,2000.0,1850.0,1900.0,1862.5,1850.0,1890.0,1922.0,1875.0,1800.0,1850.0,1900.0,1900.0,1923.5,2000.0,2100.0,2100.0,2050.0,2000.0,1912.5,1912.5,2000.0,1925.0,1899.0,2055.0,2095.0,2100.0,2100.0,2200.0,2100.0,2100.0,2016.0,2100.0,2100.0,2100.0,2100.0,2100.0,2150.0,2175.0,2178.5,2199.0,2155.0,2100.0,2000.0,1999.0,2095.0,2000.0,2100.0,2175.0,2150.0,2200.0
Cambria Heights,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canarsie,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350.0,,,,,,,,,,,,,,,
Carroll Gardens,Brooklyn,neighborhood,1925.0,2100.0,2000.0,1850.0,2000.0,2100.0,2100.0,2050.0,2112.5,2150.0,2100.0,2150.0,2150.0,2000.0,2100.0,2200.0,2500.0,2325.0,2200.0,2275.0,2200.0,2200.0,2287.5,2300.0,2300.0,2250.0,2300.0,2325.0,2525.0,2500.0,2400.0,2500.0,2500.0,2500.0,2500.0,2550.0,2400.0,2425.0,2600.0,2600.0,2400.0,2625.0,2550.0,2500.0,2700.0,2500.0,2500.0,2500.0,2400.0,2400.0,2500.0,2500.0,2550.0,2500.0,2600.0,2600.0,2600.0,2500.0,2500.0,2500.0,2600.0,2500.0,2550.0,2550.0,2650.0,2600.0,2600.0,2550.0,2600.0,2600.0,2550.0,2500.0,2500.0,2500.0,2500.0,2600.0,2525.0,2587.5,2600.0,2600.0,2550.0,2500.0,2500.0,2500.0,2550.0,2425.0,2500.0,2550.0,2500.0,2500.0,2525.0,2550.0,2525.0,2500.0,2525.0,2600.0,2600.0,2572.5,2600.0,2600.0,2500.0,2695.0
Castle Hill,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400.0,1400.0,,,,,,,,,1300.0,,,,,,,,,,1450.0,1450.0,1450.0,1475.0,1475.0,,1450.0,,1495.0,,,,,,,,,,,,,,
